track_id,track_name,track_number,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min;
7KOlJ92bu51cltsD9KU5I7,T-Shirt,2,1,True,Migos,74,14639621,trap,2AvupjUeMnSffKEV05x222,Culture,2017-04-07,13,album,4.04
6kbCH9kQoNzaEt1R1rizpR,FML,1,45,True,K.Flay,60,644923,,4u8WQJuGK4qZEHDb9y4l7Q,FML,2017-04-06,1,single,3.46
2p4p9YGwmJIdf5IA9sSWhm,STFU,3,53,True,mansionz,44,326356,,5WS1g0cKtjfK6eDoSLdv7d,Mansionz,2017-03-24,13,album,3.84
6uBhi9gBXWjanegOb2Phh0,Stay,1,76,False,Zedd,73,6111369,edm,1I4W7JKzYbl8VKRfD61DIS,Stay,2017-02-23,1,single,3.5
1QG3f3TYy9mci5ogEu2PyS,Nànnuflày,11,47,False,Tinariwen,47,452756,gnawa,67SgIr5XQiQg4xYI7zFM4Q,Elwan,2017-02-10,13,album,5.05
3ih1Op3mIIBPc45JMVfWCw,Guacamayo,2,53,False,Danit,55,274288,,05WSKyQ8c6mY8IpIVangkd,Aliento,2017-01-24,10,album,6.81
5v9iJSk2leCP8JCGpIzEkr,Heartbeat,7,51,False,Danit,55,274288,,05WSKyQ8c6mY8IpIVangkd,Aliento,2017-01-24,10,album,4.4
3OP8UeYimRl9HCNxMg7Ihl,Young,4,0,False,Vacations,68,1485869,,58Zq3iYZFzaW4sm5Z8iwyt,Vibes,2016-12-09,6,single,3.15
3pZcPE0ugJCI6zu5scIjp5,Madness,1,55,False,Ruelle,61,648181,,3o33GGQ8CEqEl1PV0pUduC,Madness,2016-12-09,7,album,3.51
5fKBwqSTuCbnJlCOpeRa3o,Sexual,1,61,False,NEIKED,59,190060,,4fpw9otqwjuKWM7OLu8DgP,Sexual,2016-06-30,5,single,3.14
1C7KSXR2GVxknex6I4ANco,9,2,80,True,Drake,95,103126025,rap,40GMAhriYJRO1rsY4YdrZb,Views,2016-05-06,20,album,4.26
7MjSipTto9QljYzZnloXOn,Views,19,62,True,Drake,95,103067383,rap,40GMAhriYJRO1rsY4YdrZb,Views,2016-05-06,20,album,5.19
3O8NlPh2LByMU9lSRSHedm,Controlla,11,72,True,Drake,95,103067383,rap,40GMAhriYJRO1rsY4YdrZb,Views,2016-05-06,20,album,4.08
2qLcJOLrh6Djda4uLbldSA,Faithful,9,57,True,Drake,95,103094105,rap,40GMAhriYJRO1rsY4YdrZb,Views,2016-05-06,20,album,4.83
4cRBqWBjuccCowYVHFlXK6,Redemption,7,68,True,Drake,95,103039388,rap,40GMAhriYJRO1rsY4YdrZb,Views,2016-05-06,20,album,5.56
5e574bhjycX1eH2l4Auage,Grammys,13,58,True,Drake,95,103039388,rap,40GMAhriYJRO1rsY4YdrZb,Views,2016-05-06,20,album,3.67
5NFYuqu8V6QXc6mzcLImd6,Hype,5,59,True,Drake,95,103094105,rap,40GMAhriYJRO1rsY4YdrZb,Views,2016-05-06,20,album,3.49
6g0Orsxv6glTJCt4cHsRsQ,Formation,12,69,True,Beyoncé,84,41172203,,7dK54iZuOxXFarGhXwEXfF,Lemonade,2016-04-23,13,album,3.43
2FNPJWVdGxYhWaotd6rULS,Sandcastles,8,56,True,Beyoncé,84,41176723,,7dK54iZuOxXFarGhXwEXfF,Lemonade,2016-04-23,13,album,3.04
0lnIJmgcUpEpe4AZACjayW,Sorry,4,64,True,Beyoncé,84,41172203,,7dK54iZuOxXFarGhXwEXfF,Lemonade,2016-04-23,13,album,3.87
0qy5D3OJre7SPJNMOL9I71,Broccoli,1,62,True,DRAM,57,885355,,4mchkmnzdTYIEAnw2FijA3,Broccoli,2016-04-06,1,single,3.75
275a9yzwGB6ncAW4SxY7q3,Panda,1,65,True,Desiigner,58,3553104,,1k3BLTc4VZ7beRBXL1SPN6,Panda,2016-02-26,1,single,4.13
0IKK48xF4eEdfofyaeKWWO,PILLOWTALK,1,63,True,ZAYN,77,24114464,,6BUAjgcgWhtTgRXVqCwF4u,PILLOWTALK,2016-01-29,1,single,3.39
5MeZ2oryBpcktBzNte6tEE,Heartburn,3,37,False,Wafia,55,173156,,24p8vyOJDS4sm701uyUmJ7,XXIX,2015-11-20,5,single,3.44
3tjfbu0G0PPy8UjhxfxVIe,Heartburn,1,0,False,Wafia,55,173156,,4RfO9aZPT2i4U2Wi1ERfOP,Heartburn,2015-10-23,1,single,3.44
3SErMoIKdRELto2OspGs5L,idfc,2,69,True,blackbear,71,5067710,,5cEJ9XTxsUKterwl1nAm2I,dead,2015-06-02,5,single,3.45
6y6jbcPG4Yn3Du4moXaenr,idfc,6,73,True,blackbear,71,5067759,,1TkwzY3l4LqAfrQwBAx45Q,deadroses,2015-02-14,10,album,4.08
00l0Fryxwwussp9CGjQXGI,Kyo,10,38,False,Yaima,52,146628,,5T8HSCMkzbA8hCpSXTBwlr,Pellucidity,2014-11-25,10,album,4.73
6sWMSG9A1MsdZj1OfEYo2A,Gajumaru,6,56,False,Yaima,52,146628,,5T8HSCMkzbA8hCpSXTBwlr,Pellucidity,2014-11-25,10,album,5.75
4ngypPwfcqpHBxQjJIOgvr,Hangover,1,44,False,PSY,62,1819643,k-pop,1LZ6fdYr5t1xfCKhrHgTLb,Hangover,2014-06-09,1,single,3.94
3tCwjWLicbjsMCvXhN0WOE,Rude,1,63,False,MAGIC!,66,1610608,,2Qm9AzJHWLG9vbJCeXRaAW,Rude,2013-10-11,1,single,3.74
6FE2iI43OZnszFLuLtvvmg,Classic,2,79,False,MKTO,62,1101988,,5IenxFp0vpnXBUxPcwJtbE,MKTO,2012-06-30,11,album,2.92
60wwxj6Dd9NJlirf84wr2c,Clarity,5,78,False,Zedd,73,6111556,edm,7juWTdmjo0vYywWu8HiQxs,Clarity,2012-01-01,10,album,4.52
1J4XVj9fWhfJNgFB1ppgWP,Freaks,12,0,False,P.A.B,7,49,,3LuapnpLMnood0tCUtBsbz,Superokey,2011-02-25,14,album,3.88
5SkjTqQiVbzZozJDJ29dth,Apply,1,33,False,Glasser,21,52027,,67jSVxuCF5y7rPizT4mLP7,Ring,2010-09-27,9,album,4.98
4E5P1XyAFtrjpiIxkydly4,Replay,1,79,False,Iyaz,65,1156272,,44hyrGuZKAvITbmrlhryf8,Replay,2009-08-18,11,album,3.03
5vlEg2fT4cFWAqU5QptIpQ,Replay,1,67,False,Iyaz,65,1156272,,698AdfGuOthKXXvvHla9bf,Replay,2009-08-11,1,single,3.03
1ah1aqLPlq0NG1g2KaFEky,Certamente,1,36,False,Madreblu,19,2841,,6nPeRGk2SO1anHm1GKeSx9,Necessita,2007-06-19,11,album,3.59
4wzt5Rrk3W98pHXAqutuJw,Talk,5,68,False,Coldplay,88,60818952,,4E7bV0pzG0LciBSWTszra6,X&Y,2005-06-07,13,album,5.18
3qaSqrrevBrb84xl5JlptU,Dakota,5,72,False,Stereophonics,65,1748684,britpop,1DwcGY8AK9RS0IgmozyvyP,Language.Sex.Violence.Other?,2005-01-01,11,album,4.95
694tcvGfrTw7YEfFHFZK9d,blue,1,0,True,LV,0,555,,1uWOEXWKLxJcJSCh3CJ2Qv,blue,2002-02-02,1,single,2.81
42qNWdLKCI41S4uzfamhFM,Duvet,1,84,False,bôa,68,1188508,,7sGYAV0xv7ZfAMzIpMl8m1,Twilight,2001-03-21,14,album,3.39
0R8P9KfGJCDULmlEoBagcO,Trouble,6,75,False,Coldplay,88,60830643,,6ZG5lRT77aJ3btmArcykra,Parachutes,2000-07-10,10,album,4.55
4qzoHxgp42ylb18ga1SWTL,Parachutes,7,57,False,Coldplay,88,60804949,,6ZG5lRT77aJ3btmArcykra,Parachutes,2000-07-10,10,album,0.77
0qksx8mV28lztYIZ1om8ml,Shiver,2,67,False,Coldplay,88,60804949,,6ZG5lRT77aJ3btmArcykra,Parachutes,2000-07-10,10,album,5.07
7D0RhFcb3CrfPuTJ0obrod,Sparks,4,90,False,Coldplay,88,60804949,,6ZG5lRT77aJ3btmArcykra,Parachutes,2000-07-10,10,album,3.78
2mLgOcRkEgq89j8WstUpui,Spies,3,60,False,Coldplay,88,60830643,,6ZG5lRT77aJ3btmArcykra,Parachutes,2000-07-10,10,album,5.31
3AJwUDP919kvQ9QcozQPxg,Yellow,5,90,False,Coldplay,88,60804949,,6ZG5lRT77aJ3btmArcykra,Parachutes,2000-07-10,10,album,4.44
4YsNfGnCcN4pmg1dJdgno8,blue,1,0,False,dreamy,10,2778,,1uDx6cL35xXqtUxokRRMwZ,blue,1999-12-31,1,single,2.81
7l6jLJRh48UK9lxK8imMwO,Chanel,1,0,True,syre,0,367,,0U7LIkH99KhZIcaFy9ljSQ,Chanel,1994-01-02,1,single,3.08
